week,focus_region,policy_packages,active_oem_target_k,active_market_gwh_2023,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,raw_price_signal,oem_uk_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_copper_wk,stock_cells_wk,stock_packs_wk,stock_inverters_wk,stock_motors_wk,stock_harness_wk,price_lithium,price_cobalt,price_graphite,price_ree,price_sic_wafer,price_copper,price_component_pack,price_component_inverter,price_component_motor,price_component_harness,price_component_vehicle,price_component_sic,price_component_parts,price_component_labour,oem_price_margin_signal,cell_capacity_gwh_yr,cell_cap_util,lfp_share,sd_ev_demand_gwh_yr,sd_oem_backlog_k,bullwhip_index,bottleneck_component,bottleneck_severity,cell_unmet_demand_gwh,tier1_unmet_demand_k,oem_unmet_demand_k,shortfall_packs_k,shortfall_inverters_k,shortfall_motors_k,shortfall_harness_k,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
0,uk,tier1_resilience,175,20,0.3866213457497003,3.5571097037211,0.3864456136600355,2.3600500595925094,1.0009033263128613,1.0451663156430633,3.5571097037211,3.9998766721756494,5.999893491733576,3.9998766721756494,8.010579328635124,12.010579328635124,3.986248428391816,4.010709580084397,3.0005379397221468,8.000537939722147,6.000537939722147,2.0005379397221468,1.0129970877435877,1.0129968424767857,1.0129970877435877,1.0129717307288584,1.012979986721107,1.007827930087864,1.0011904612491784,1.0029848475397616,1.003367778286066,1.0013626729776093,1.0045166315643064,1.0010383989376885,1.0028004349046375,1.0000227440038572,1.002902893478687,1424.178474244798,0.014116425955423296,0.4025993188487042,743.6383064595701,2.388207429510216,0.9506893086106423,none,0.0,0.0,0.0,2.388207429510216,0.0,0.0,0.0,0.0,3.701923076923077,3.701923076923077,3.701923076923077,3.701923076923077,china_ree_restriction_tier1_policy
1,uk,tier1_resilience,175,20,0.38882288789590713,3.5822941399011015,0.3863506280042313,4.723073052922723,1.0025182582690557,1.0491301768595724,3.5822941399011015,3.999614094373676,5.999640938337946,3.999614094373676,8.02120205074229,12.021067376426394,4.972405575939778,4.021467175260532,3.0010736074048645,8.001073607404866,6.001073607404865,2.001073607404865,1.025345841091493,1.0253447985195776,1.025345841091493,1.0252576666748958,1.0252863593717993,1.0107495515564782,1.003258290542436,1.0064691693353582,1.0070220644646148,1.0027507992000881,1.008977986093833,1.0029782357724173,1.0055970130296055,1.000045488525004,1.0050320149152225,1352.2459292791125,0.014952006682220804,0.40220779580607546,674.6220214319045,4.749769105058828,0.9057981358346898,none,0.0,0.0,0.0,2.3615616755486117,0.0,0.0,0.0,0.0,3.726495880088772,3.726495880088772,3.726495880088772,3.726495880088772,china_ree_restriction_tier1_policy
2,uk,tier1_resilience,175,20,0.3909611654466886,3.6072479667695285,0.3861684094096389,7.059680901602908,1.0046893519458304,1.0529353916847914,3.6072479667695285,3.999216268149769,5.999249507062036,3.999216268149769,8.031862128692927,12.03146348411794,5.958470783388015,4.03226812504877,3.001608518950797,8.001608518950798,6.001608518950797,2.0016085189507975,1.0370797820013504,1.0370770580012874,1.0370797820013504,1.036885869188575,1.036948927653045,1.0113252368904813,1.0059568291893397,1.010356703772504,1.0109026173182527,1.004076506391085,1.0133737266529288,1.0056958911228675,1.0083890716797563,1.0000682335634523,1.0065774286841311,1284.0032225218333,0.015833278489207306,0.4018280540527387,612.135969822488,7.083573590745282,0.8651135115745161,none,0.0,0.0,0.0,2.3338044856864544,0.0,0.0,0.0,0.0,3.7512461549344707,3.7512461549344707,3.7512461549344707,3.7512461549344707,china_ree_restriction_tier1_policy
3,uk,tier1_resilience,175,20,0.3930210684199619,3.632064956013411,0.3859215931235467,9.36866839804548,1.007290847629572,1.0566047637690286,3.632064956013411,3.9986881507827072,5.9987282310391175,3.9986881507827072,8.042553705410407,12.04176700168354,5.957844447530121,4.043106822471382,3.002143832698292,8.002143832698293,6.002143832698292,2.002143832698292,1.048230815128567,1.0482251845792674,1.048230815128567,1.0478861101384631,1.0479981207990192,1.0113935805986374,1.0090924326358317,1.0145646424086667,1.014957831670368,1.0053287591665387,1.0176968303645388,1.0090800694969597,1.0111762753537181,1.0000909791192139,1.007687507212316,1219.2614142980406,0.0167618652720214,0.40146210093163825,555.6425391444832,9.388763913555668,0.8284130067191092,none,0.0,0.0,0.0,2.3051903228103847,0.0,0.0,0.0,0.0,3.776171416839044,3.776171416839044,3.776171416839044,3.776171416839044,china_ree_restriction_tier1_policy
4,uk,tier1_resilience,175,20,0.39489131038184644,3.656819321508989,0.38562849870538946,11.649104355360286,1.0102210713209343,1.0601481875829828,3.656819321508989,3.9980417385413958,5.998097396454361,3.998589513136875,8.053271124911634,12.050553171849876,5.9576007316107455,4.053970627586775,3.002680425273359,8.00268042527336,6.002680425273359,2.002680425273359,1.0588292235014498,1.0588191171535537,1.0588266541440543,1.0582882409562198,1.058466110466684,1.0112563051314507,1.0125136790010678,1.0190220017901597,1.0191435655509373,1.0065087602949705,1.0219419660863833,1.0130309527745376,1.0139584537856332,1.0001137251923005,1.0084792345117932,1157.8412444646558,0.017735029079353933,0.4011114708957828,504.5535802920229,11.664690725975747,0.7954680759429096,none,0.0,0.0,0.0,2.2759268124200798,0.0,0.0,0.0,0.0,3.801270042717024,3.801270042717024,3.801270042717024,3.801270042717024,china_ree_restriction_tier1_policy
5,uk,tier1_resilience,175,20,0.396686514640867,3.6815705613861165,0.3853039431538179,13.900279927903238,1.0133978797696956,1.0635734408699602,3.6815705613861165,3.9972817776436003,5.997365882944344,3.997206892437931,8.064008937009541,12.061237312011743,5.957330878340173,4.064854154001947,3.0032189487844776,8.003218948784477,6.003218948784479,2.003218948784478,1.0689037410669473,1.0688872468410475,1.0689003664102237,1.0681214160436727,1.0683797867083138,1.0110345323115522,1.016102851734944,1.0236678570413198,1.0234221473949443,1.0076219546319496,1.026105113564741,1.0174588594892398,1.016735519753993,1.000136471782724,1.0090442976514153,1099.5726360091699,0.018759741817686578,0.4007773198542135,458.3401616504581,13.91087313618683,0.7660470743641069,none,0.0,0.0,0.0,2.2461824102110817,0.0,0.0,0.0,0.0,3.8265410905793713,3.8265410905793713,3.8265410905793713,3.8265410905793713,china_ree_restriction_tier1_policy
6,uk,tier1_resilience,175,20,0.3980912940646547,3.7063661960483985,0.384959903604046,16.12166670345204,1.0167549634175912,1.066886958009061,3.7063661960483985,3.9967295245271046,5.996544396161725,3.996627238842903,8.07476189445253,12.071900411788786,5.9572308650952275,4.075732068211643,3.003759877341886,8.003759877341887,6.003759877341888,2.0037598773418863,1.0784801402532755,1.078456486527594,1.0784769473998297,1.077413741394898,1.0777658440857991,1.010786791825584,1.0197688186341192,1.0284500994997732,1.027761528829065,1.0086752553896494,1.030183298009173,1.0222834182569644,1.019507432136483,1.0001592188904957,1.0094541952095253,1044.294224207368,0.01982271548717428,0.40046049208318146,416.54336280294524,16.126966995585292,0.7399179493583635,none,0.0,0.0,0.0,2.216093859398464,0.0,0.0,0.0,0.0,3.8519841637026833,3.8519841637026833,3.8519841637026833,3.8519841637026833,china_ree_restriction_tier1_policy
7,uk,tier1_resilience,175,20,0.3985553028892291,3.7312441002442664,0.38460605530530506,18.312882658654637,1.020238864109287,1.070094986678144,3.7312441002442664,3.995543582025369,5.995687223531841,3.995636279777461,8.08552494663489,12.081570122367879,5.956757041041983,4.086544226590748,3.0043035445032937,8.004303544503296,6.004303544503295,2.0043035445032937,1.0875860920469689,1.087552204497767,1.0875826300840208,1.0861921337414562,1.0866517170766827,1.0105376018034111,1.0234418025811034,1.0333244133233026,1.03213455695444,1.0096756406055654,1.03417446687607,1.0274328821625418,1.0222741844555263,1.000181966515628,1.0097641762410319,991.8529100033186,0.02089511009265534,0.40016157106147443,378.7004891382151,18.31273913080726,0.7168506121012113,none,0.0,0.0,0.0,2.1857721352219652,0.0,0.0,0.0,0.0,3.8775993000952087,3.8775993000952087,3.8775993000952087,3.8775993000952087,china_ree_restriction_tier1_policy
8,uk,tier1_resilience,175,20,0.39873797000512456,3.7562342974015377,0.38425020578212515,20.47366459671933,1.023806549425214,1.0732027050045871,3.7562342974015377,3.995108861231805,5.993042106573398,3.996309808481125,8.09629323190693,12.091027171532957,5.956732165837218,4.097272193696625,3.004850173723555,8.004850173723556,6.004850173723556,2.004850173723555,1.0962429758826784,1.0962038857983358,1.0962338321382645,1.0944822830504284,1.0950632929159054,1.0102973534656767,1.0270685905519539,1.0382532458987856,1.0365183290444822,1.0106296326073132,1.0380772906889217,1.032843315022811,1.0250357909402217,1.0002047146581323,1.0100167871907157,942.1034363508662,0.02200859655132858,0.3998809231561855,370.99810107006704,20.468046460823032,0.6966189970002877,none,0.0,0.0,0.0,2.155307330015772,0.0,0.0,0.0,0.0,3.9033868834958585,3.9033868834958585,3.9033868834958585,3.9033868834958585,china_ree_restriction_tier1_policy
9,uk,tier1_resilience,175,20,0.39902818250661365,3.7813606275421834,0.38389864790423406,22.603845596594457,1.0274234654371173,1.0762156786470118,3.7813606275421834,3.993538082096818,5.992118854794187,3.994788481595949,8.1070620694686,12.10123656931502,5.956566076867953,4.107922129186311,3.005399902339477,8.00539990233948,6.005399902339478,2.0053999023394775,1.1044775123744695,1.1044312512020185,1.1044600214359188,1.1023086649659775,1.1030235903511438,1.0100703729818103,1.0306095795808201,1.043204829728609,1.0408936262392132,1.0115431305663423,1.0418911294847308,1.0384577370490775,1.027792274764133,1.0002274633180204,1.0102442491792503,894.907986321564,0.02318614405893578,0.39961873018076843,370.996272969102,22.592818877961374,0.6790028195672626,none,0.0,0.0,0.0,2.1247724171383404,0.0,0.0,0.0,0.0,3.9293475709485493,3.9293475709485493,3.9293475709485493,3.9293475709485493,china_ree_restriction_tier1_policy
