week,focus_region,policy_packages,active_oem_target_k,active_market_gwh_2023,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,raw_price_signal,oem_uk_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_copper_wk,stock_cells_wk,stock_packs_wk,stock_inverters_wk,stock_motors_wk,stock_harness_wk,price_lithium,price_cobalt,price_graphite,price_ree,price_sic_wafer,price_copper,price_component_pack,price_component_inverter,price_component_motor,price_component_harness,price_component_vehicle,price_component_sic,price_component_parts,price_component_labour,oem_price_margin_signal,cell_capacity_gwh_yr,cell_cap_util,lfp_share,sd_ev_demand_gwh_yr,sd_oem_backlog_k,bullwhip_index,bottleneck_component,bottleneck_severity,cell_unmet_demand_gwh,tier1_unmet_demand_k,oem_unmet_demand_k,shortfall_packs_k,shortfall_inverters_k,shortfall_motors_k,shortfall_harness_k,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
0,uk,none,175,20,0.3866213457497003,3.554050244038415,0.3864456136600355,2.3631095192751945,1.000903324647478,1.0451662323739095,3.554050244038415,3.9998766721756494,5.999893491733576,3.9998766721756494,8.010579328635124,12.010579328635124,3.986248428391816,4.010709580084397,3.0005493047283975,8.000549304728397,6.0005493047283975,2.0005493047283975,1.0129970877435877,1.0129968424767857,1.0129970877435877,1.0129717307288584,1.012979986721107,1.007827930087864,1.0011904612491784,1.0029848392601217,1.0033677677831896,1.0013626691444428,1.004516623237391,1.0010383989376885,1.0028004246828601,1.0000227440038572,1.002902887397398,1424.178474244798,0.014116425955423296,0.4025993188487042,743.6383064613801,2.391266889192901,0.9520984508896242,none,0.0,0.0,0.0,2.391266889192901,0.0,0.0,0.0,0.0,3.701923076923077,3.701923076923077,3.701923076923077,3.701923076923077,drc_cobalt
1,uk,none,175,20,0.38882288789590713,3.5761327696906657,0.38634831250443413,4.732293882815845,1.0025182507803665,1.0491299439826767,3.5761327696906657,3.999614094373676,5.999640938337946,3.999614094373676,8.021213841106327,12.021079282623418,4.972417482136802,4.021479075463039,3.0010959539191817,8.001095953919181,6.001095953919182,2.0010959539191817,1.025345841091493,1.0253447985195776,1.025345841091493,1.0252576391327581,1.0252863408092368,1.0107495274518583,1.003258290026346,1.006469138037832,1.0070220250218225,1.002750784317103,1.0089779553119196,1.0029782342874123,1.0055969752468175,1.000045488525004,1.0050319930625453,1352.2459292791125,0.014952006682220804,0.40220779580607546,674.6220094003238,4.758954311878145,0.9093009677684962,none,0.0,0.0,0.0,2.367687422685244,0.0,0.0,0.0,0.0,3.723290731849768,3.723290731849768,3.723290731849768,3.723290731849768,drc_cobalt
2,uk,none,175,20,0.39096116544580156,3.597943324937265,0.38616142906814604,7.07817075025449,1.004689331554164,1.0529349486862647,3.597943324937265,3.999216268149825,5.999249507062086,3.999216268149825,8.031897431900966,12.031499357461973,5.958506656732048,4.032303980331278,3.001641462366516,8.001641462366516,6.001641462366517,2.001641462366516,1.03707978200135,1.0370770580012871,1.03707978200135,1.0368857470095065,1.036948844908034,1.0113251838551536,1.005956826483438,1.010356628324046,1.0109025230137627,1.0040764713203836,1.0133736546493541,1.005695883137062,1.008388983414517,1.0000682335634523,1.0065773792659451,1284.003222521831,0.01583327848917141,0.4018280540527387,612.1359226615888,7.101956049527741,0.8711114464850572,none,0.0,0.0,0.0,2.343001737649597,0.0,0.0,0.0,0.0,3.744794198959701,3.744794198959701,3.744794198959701,3.744794198959701,drc_cobalt
3,uk,none,175,20,0.3930193005126259,3.6195763430099044,0.3859075685347145,9.399539469831447,1.0072908040850763,1.056604050243069,3.6195763430099044,3.9986882626048588,5.998728413630452,3.9986882626048588,8.042624188965325,12.041839057626483,5.957916503473063,4.043178730313533,3.0021869850938656,8.002186985093866,6.002186985093866,2.0021869850938656,1.0482308146041623,1.0482251840085028,1.0482308146041623,1.0478857823316896,1.0479978977033033,1.0113934915419065,1.0090924242632306,1.014564494625169,1.0149576486697094,1.0053286931195888,1.0176966942087255,1.0090800443023613,1.0111761088731905,1.0000909791192139,1.0076874173901529,1219.2614142980242,0.01676178987294773,0.4014621009314067,555.6424235980943,9.41941922243652,0.8370804991557752,none,0.0,0.0,0.0,2.31746317290878,0.0,0.0,0.0,0.0,3.7664310612125007,3.7664310612125007,3.7664310612125007,3.7664310612125007,drc_cobalt
4,uk,none,175,20,0.39488787148764043,3.6411063775265573,0.38560502281290027,11.695472608223575,1.010220991029485,1.0601471401926645,3.6411063775265573,3.9980420678774125,5.998097934656637,3.998589842472892,8.053388413951575,12.050673780487287,5.9577094047661765,4.054090846164276,3.0027333940085748,8.002733394008574,6.002733394008575,2.002733394008575,1.0588292211961257,1.0588191146432357,1.0588266518389775,1.05828755200394,1.0584656392414487,1.0112561495051378,1.0125136591294974,1.0190217455220552,1.0191432513535346,1.0065086501789806,1.0219417388071195,1.0130308918974884,1.01395817691121,1.0001137251923005,1.0084790911577226,1157.8412444645876,0.017734874634607416,0.4011114708943096,504.553353771119,11.710697811262275,0.8068013181452995,none,0.0,0.0,0.0,2.2912785888257545,0.0,0.0,0.0,0.0,3.788199657366228,3.788199657366228,3.788199657366228,3.788199657366228,drc_cobalt
5,uk,none,175,20,0.39667891387549503,3.662593020628457,0.385268582675039,13.96526455394743,1.013397745657731,1.063571992443071,3.662593020628457,3.9972825877364393,5.9973672133865,3.99720770253077,8.064184626534827,12.061418998539876,5.957476645305379,4.065034938961923,3.0032813356941928,8.003281335694192,6.003281335694194,2.003281335694193,1.0689037341717789,1.0688872393115767,1.068900359515524,1.0681201670127036,1.068378928163191,1.0110342967008654,1.0161028116796935,1.0236674472665062,1.023421650069293,1.0076217858834535,1.0261047641707146,1.0174587347987447,1.0167350960576829,1.000136471782724,1.0090440878249851,1099.5726360089618,0.018759382369131297,0.40077731984845516,458.3397729919238,13.975313754865187,0.7799058501384385,none,0.0,0.0,0.0,2.264615943602912,0.0,0.0,0.0,0.0,3.810098922396877,3.810098922396877,3.810098922396877,3.810098922396877,drc_cobalt
6,uk,none,175,20,0.398072944113381,3.684083701643868,0.38491019973801793,16.20838981653493,1.0167547548183495,1.0668850370718013,3.684083701643868,3.9967314952746733,5.996546971915535,3.9966292095904716,8.075007561123746,12.072155857218672,5.9574137399158875,4.075985414282599,3.0038312783602663,8.003831278360266,6.003831278360268,2.0038312783602663,1.0784801220993856,1.0784564687450813,1.078476929246377,1.0774116918165322,1.0777644283542065,1.0107864612000268,1.0197687463205567,1.0284494815518865,1.0277607863928706,1.00867501202657,1.0301827914608233,1.0222831902831817,1.0195068211041902,1.0001592188904957,1.009453906635925,1044.2942242068432,0.01982180176244641,0.4004604920659293,416.5427529509045,16.21292543380621,0.7560612701963265,none,0.0,0.0,0.0,2.237611678941023,0.0,0.0,0.0,0.0,3.832128267350912,3.832128267350912,3.832128267350912,3.832128267350912,drc_cobalt
7,uk,none,175,20,0.398502736209775,3.7056160659202586,0.38453952392810636,18.42446913119956,1.0202385566819305,1.0700925182151324,3.7056160659202586,3.995548877673599,5.9956931872742345,3.995641575425691,8.085852160120163,12.081912164448594,5.9569786140929235,4.086880800812293,3.004383549592702,8.004383549592703,6.004383549592703,2.0043835495927023,1.0875860441288783,1.0875521636296568,1.0875825821670442,1.0861890037808495,1.0866495445280542,1.0105371596937438,1.023441681505288,1.033323522430693,1.0321334971239249,1.0096753053570586,1.0341737641362543,1.0274324986227714,1.022273341844354,1.000181966515628,1.009763798137772,991.8529100021581,0.020892354172619417,0.40016157101580246,378.6995918257524,18.42330204370297,0.7349667422729272,none,0.0,0.0,0.0,2.2103766098967625,0.0,0.0,0.0,0.0,3.8542874816919306,3.8542874816919306,3.8542874816919306,3.8542874816919306,drc_cobalt
8,uk,none,175,20,0.39867554794245574,3.727219806141546,0.3841643372780863,20.613242000875037,1.0238061150338946,1.0731996071912226,3.727219806141546,3.9951181051445936,5.993052184342559,3.9963190523939134,8.096713565769148,12.091468805845244,5.956991133529377,4.097704361742604,3.00493836700955,8.00493836700955,6.004938367009551,2.0049383670095504,1.0962428715971064,1.0962038034314163,1.0962337278720258,1.0944777557331518,1.0950601351913265,1.0102967835193295,1.0270683992867211,1.038252006451297,1.0365168686099564,1.0106291869059312,1.0380763484417512,1.0328427095482557,1.0250346686322698,1.0002047146581323,1.010016310448572,942.1034363485369,0.022005151125824036,0.399880923047739,370.9976545538461,20.606302811070446,0.7163504508620852,none,0.0,0.0,0.0,2.183000767367474,0.0,0.0,0.0,0.0,3.876576654757062,3.876576654757062,3.876576654757062,3.876576654757062,drc_cobalt
9,uk,none,175,20,0.3989525706881014,3.748918356547315,0.38379090675471383,22.77454421783674,1.0274228720221303,1.0762118637749714,3.748918356547315,3.993552108540821,5.992133980034167,3.994802508039953,8.107587111591098,12.101790950503304,5.956863407299544,4.108462204811407,3.005495862386159,8.00549586238616,6.005495862386159,2.005495862386159,1.104477317980636,1.1044311038031307,1.104459827104984,1.1023023883515322,1.1030191915242933,1.0100696589401283,1.0306092914974896,1.043203154764886,1.0408916706845763,1.0115425545720094,1.0418898999750732,1.0384568281063387,1.0277908207165074,1.0002274633180204,1.0102436664602608,894.9079863172258,0.023181750518457687,0.399618729948331,370.9957127151245,22.76185994305719,0.6999668867548902,none,0.0,0.0,0.0,2.155557131986744,0.0,0.0,0.0,0.0,3.8989961119303307,3.8989961119303307,3.8989961119303307,3.8989961119303307,drc_cobalt
