week,focus_region,policy_packages,active_oem_target_k,active_market_gwh_2023,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,raw_price_signal,oem_uk_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_copper_wk,stock_cells_wk,stock_packs_wk,stock_inverters_wk,stock_motors_wk,stock_harness_wk,price_lithium,price_cobalt,price_graphite,price_ree,price_sic_wafer,price_copper,price_component_pack,price_component_inverter,price_component_motor,price_component_harness,price_component_vehicle,price_component_sic,price_component_parts,price_component_labour,oem_price_margin_signal,cell_capacity_gwh_yr,cell_cap_util,lfp_share,sd_ev_demand_gwh_yr,sd_oem_backlog_k,bullwhip_index,bottleneck_component,bottleneck_severity,cell_unmet_demand_gwh,tier1_unmet_demand_k,oem_unmet_demand_k,shortfall_packs_k,shortfall_inverters_k,shortfall_motors_k,shortfall_harness_k,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
0,uk,none,175,20,0.3866213457497003,3.554050244038415,0.3864456136600355,2.3631095192751945,1.000903324647478,1.0451662323739095,3.554050244038415,3.9998766721756494,5.999893491733576,3.9998766721756494,8.010579328635124,12.010579328635124,3.986248428391816,4.010709580084397,3.0005493047283975,8.000549304728397,6.0005493047283975,2.0005493047283975,1.0129970877435877,1.0129968424767857,1.0129970877435877,1.0129717307288584,1.012979986721107,1.007827930087864,1.0011904612491784,1.0029848392601217,1.0033677677831896,1.0013626691444428,1.004516623237391,1.0010383989376885,1.0028004246828601,1.0000227440038572,1.002902887397398,1424.178474244798,0.014116425955423296,0.4025993188487042,743.6383064613801,2.391266889192901,0.9520984508896242,none,0.0,0.0,0.0,2.391266889192901,0.0,0.0,0.0,0.0,3.701923076923077,3.701923076923077,3.701923076923077,3.701923076923077,uk_supply_chain_friction
1,uk,none,175,20,0.38882288789590713,3.5761327696906657,0.38634831250443413,4.732293882815845,1.0025182507803665,1.0491299439826767,3.5761327696906657,3.999614094373676,5.999640938337946,3.999614094373676,8.021213841106327,12.021079282623418,4.972417482136802,4.021479075463039,3.0010959539191817,8.001095953919181,6.001095953919182,2.0010959539191817,1.025345841091493,1.0253447985195776,1.025345841091493,1.0252576391327581,1.0252863408092368,1.0107495274518583,1.003258290026346,1.006469138037832,1.0070220250218225,1.002750784317103,1.0089779553119196,1.0029782342874123,1.0055969752468175,1.000045488525004,1.0050319930625453,1352.2459292791125,0.014952006682220804,0.40220779580607546,674.6220094003238,4.758954311878145,0.9093009677684962,none,0.0,0.0,0.0,2.367687422685244,0.0,0.0,0.0,0.0,3.723290731849768,3.723290731849768,3.723290731849768,3.723290731849768,uk_supply_chain_friction
2,uk,none,175,20,0.39096116544580156,3.597943324937265,0.38616142906814604,7.07817075025449,1.004689331554164,1.0529349486862647,3.597943324937265,3.999216268149825,5.999249507062086,3.999216268149825,8.031897431900966,12.031499357461973,5.958506656732048,4.032303980331278,3.001641462366516,8.001641462366516,6.001641462366517,2.001641462366516,1.03707978200135,1.0370770580012871,1.03707978200135,1.0368857470095065,1.036948844908034,1.0113251838551536,1.005956826483438,1.010356628324046,1.0109025230137627,1.0040764713203836,1.0133736546493541,1.005695883137062,1.008388983414517,1.0000682335634523,1.0065773792659451,1284.003222521831,0.01583327848917141,0.4018280540527387,612.1359226615888,7.101956049527741,0.8711114464850572,none,0.0,0.0,0.0,2.343001737649597,0.0,0.0,0.0,0.0,3.744794198959701,3.744794198959701,3.744794198959701,3.744794198959701,uk_supply_chain_friction
3,uk,none,175,20,0.3930193005126259,3.6195763430099044,0.3859075685347145,9.399539469831447,1.0072908040850763,1.056604050243069,3.6195763430099044,3.9986882626048588,5.998728413630452,3.9986882626048588,8.042624188965325,12.041839057626483,5.957916503473063,4.043178730313533,3.0021869850938656,8.002186985093866,6.002186985093866,2.0021869850938656,1.0482308146041623,1.0482251840085028,1.0482308146041623,1.0478857823316896,1.0479978977033033,1.0113934915419065,1.0090924242632306,1.014564494625169,1.0149576486697094,1.0053286931195888,1.0176966942087255,1.0090800443023613,1.0111761088731905,1.0000909791192139,1.0076874173901529,1219.2614142980242,0.01676178987294773,0.4014621009314067,555.6424235980943,9.41941922243652,0.8370804991557752,none,0.0,0.0,0.0,2.31746317290878,0.0,0.0,0.0,0.0,3.7664310612125007,3.7664310612125007,3.7664310612125007,3.7664310612125007,uk_supply_chain_friction
4,uk,none,175,20,0.39488787148764043,3.350173369000281,0.38560502281290027,11.98640561674985,1.0102208334257463,1.0601392600057378,3.350173369000281,3.9980420678774125,5.998097934656637,3.998589842472892,8.053388413951575,12.050673780487287,5.9577094047661765,4.054090846164276,3.003814125838167,8.003814125838167,6.003814125838168,2.0038141258381676,1.0588292211961257,1.0588191146432357,1.0588266518389775,1.05828755200394,1.0584656392414487,1.0112561495051378,1.0125136591294974,1.0190209619773063,1.0191422574125104,1.0065082874267821,1.0219409507884267,1.0130308918974884,1.013957209572014,1.0001137251923005,1.0084785234826332,1157.8412444645876,0.017734874634607416,0.4011114708943096,504.5533538871881,12.001630819788552,0.8068013181452995,none,0.0,0.0,0.0,2.582211597352031,0.0,0.0,0.0,0.0,3.788199657366228,3.788199657366228,3.788199657366228,3.788199657366228,uk_supply_chain_friction
5,uk,none,175,20,0.39667891387549503,3.3699428897295918,0.385044926389326,14.54884769337257,1.0133970707741413,1.0635516445813744,3.3699428897295918,3.9972825877364393,5.9973672133865,3.99720770253077,8.064184626534827,12.061418998539876,5.957476645305379,4.065034938961923,3.00544917796546,8.00544917796546,6.0054491779654615,2.00544917796546,1.0689037341717789,1.0688872393115767,1.068900359515524,1.0681201670127036,1.068378928163191,1.0110342967008654,1.0161028116796935,1.0236647345133723,1.0234182088917065,1.007620529979225,1.0261020201677216,1.0174587347987447,1.0167317082861722,1.000136471782724,1.0090421142296369,1099.5726360089618,0.018759382369131297,0.40077731984845516,458.3386105355414,14.555456028356284,0.7799370913711132,none,0.0,0.0,0.0,2.5538252085677313,0.0,0.0,0.0,0.0,3.810098922396877,3.810098922396877,3.810098922396877,3.810098922396877,uk_supply_chain_friction
6,uk,none,175,20,0.3979722987848102,3.389715691288879,0.38446265437389476,17.082900100381014,1.0167530059320202,1.0668492841258612,3.389715691288879,3.996737861203109,5.9965545234037405,3.996635575518907,8.075007561132548,12.072155857227946,5.957413739925163,4.0759790483634335,3.007092612488362,8.00709261248836,6.007092612488362,2.0070926124883623,1.078480092219256,1.0784564451252066,1.0784768993662266,1.0774116918165118,1.077764428354192,1.0107864612000232,1.0197687438503136,1.0284435397261171,1.0277532490768488,1.0086722611813066,1.0301767465635354,1.0222831902831806,1.0194993159556218,1.0001592188904957,1.0094495676440272,1044.2942242068432,0.019816790189113562,0.4004604920550927,416.53937540439296,17.080550404358092,0.7561524175629005,none,0.0,0.0,0.0,2.525094376001809,0.0,0.0,0.0,0.0,3.832128264854044,3.832128264854044,3.832128264854044,3.832128264854044,uk_supply_chain_friction
7,uk,none,175,20,0.39810822388906786,3.4095263378958114,0.38386793663910485,19.58818382977589,1.0202350042160195,1.0700392544483504,3.4095263378958114,3.9955801969430023,5.995727159485138,3.9956728946950952,8.0858521601683,12.081912164499629,5.956978614143961,4.0868494815939,3.0087447712274185,8.008744771227418,6.008744771227418,2.0087447712274185,1.087585853726236,1.087552023090405,1.087582391768074,1.0861890037807092,1.0866495445279545,1.0105371596937198,1.023441663948415,1.0333129999663726,1.0321201491830763,1.0096704338458011,1.034162997352017,1.0274324986227625,1.0222599017278713,1.000181966515628,1.0097560913341888,991.8529100021467,0.020871671024473504,0.4001615709295209,378.6930470526142,19.576684630140818,0.7351441442536554,none,0.0,0.0,0.0,2.4961342257827255,0.0,0.0,0.0,0.0,3.8542874704497527,3.8542874704497527,3.8542874704497527,3.8542874704497527,uk_supply_chain_friction
8,uk,none,175,20,0.39810678035374736,3.429402114980686,0.3832686114597934,22.06444227847374,1.0237998853832158,1.0731271243518516,3.429402114980686,3.9951853995935487,5.993124465945976,3.9963863468428684,8.096713565923652,12.091468806009997,5.9569911336941335,4.097637067458321,3.0104058949613086,8.010405894961307,6.010405894961308,2.0104058949613086,1.0962422935749043,1.096203384563154,1.096233149976821,1.094477755732604,1.095060135190935,1.0102967835192374,1.0270683381096595,1.0382355470488085,1.0364959895531047,1.010621566812195,1.0380594100520004,1.0328427095482164,1.0250134152882353,1.0002047146581323,1.010004228391586,942.1034363484332,0.021973757636033583,0.3998809226957576,370.99299677959095,22.043722691464644,0.7166383715416191,none,0.0,0.0,0.0,2.4670380613238283,0.0,0.0,0.0,0.0,3.8765766241438664,3.8765766241438664,3.8765766241438664,3.8765766241438664,uk_supply_chain_friction
9,uk,none,175,20,0.39820661574076516,3.449364568457344,0.38267098255069176,24.511517886320913,1.0274129750366972,1.0761186460382215,3.449364568457344,3.993666585465889,5.9922566453806985,3.99491698496502,8.107587111970908,12.101790950910551,5.9568634076974405,4.108347728293384,3.0120761456232463,8.012076145623245,6.012076145623246,2.0120761456232463,1.104476032149784,1.1044301789779785,1.1044585417389592,1.1023023883499363,1.1030191915231466,1.0100696589398652,1.0306091379349596,1.0431794182852534,1.0408615605206257,1.0115315654610957,1.0418653336506225,1.0384568281062108,1.0277598451642187,1.0002274633180204,1.0102262151259853,894.9079863167484,0.023138405663071973,0.3996187289174464,370.9898891092636,24.48160400840256,0.7003877133228111,none,0.0,0.0,0.0,2.4378813169379137,0.0,0.0,0.0,0.0,3.8989960466509688,3.8989960466509688,3.8989960466509688,3.8989960466509688,uk_supply_chain_friction
