week,focus_region,policy_packages,active_oem_target_k,active_market_gwh_2023,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,raw_price_signal,oem_uk_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_copper_wk,stock_cells_wk,stock_packs_wk,stock_inverters_wk,stock_motors_wk,stock_harness_wk,price_lithium,price_cobalt,price_graphite,price_ree,price_sic_wafer,price_copper,price_component_pack,price_component_inverter,price_component_motor,price_component_harness,price_component_vehicle,price_component_sic,price_component_parts,price_component_labour,oem_price_margin_signal,cell_capacity_gwh_yr,cell_cap_util,lfp_share,sd_ev_demand_gwh_yr,sd_oem_backlog_k,bullwhip_index,bottleneck_component,bottleneck_severity,cell_unmet_demand_gwh,tier1_unmet_demand_k,oem_unmet_demand_k,shortfall_packs_k,shortfall_inverters_k,shortfall_motors_k,shortfall_harness_k,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
0,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.3878436118964884,3.5594552894778255,0.3864456136600355,2.357704473835784,1.0008725370724727,1.0436268536236297,3.5594552894778255,5.000044677866489,8.000206021275115,6.000176770762089,11.01073800061522,15.010716844351206,3.986248428391816,4.010786889771101,3.000529226550688,8.000529226550688,6.000529226550688,2.000529226550688,1.0061700271155467,1.0052303742571027,1.002951350140801,1.0049339863195041,1.0073584370627304,1.0075870707005452,1.000357072699174,1.00267453183041,1.0030639437229047,1.0013539991840135,1.004362685362363,1.0005886749650184,1.0028004272895645,1.0000227440038572,1.0034124055789333,1424.181736567272,0.014161021238222259,0.40259649302519024,743.7688749755898,2.3858618437534904,0.9501331729934691,none,0.0,0.0,0.0,2.3858618437534904,0.0,0.0,0.0,0.0,3.701923076923077,3.701923076923077,3.701923076923077,3.701923076923077,uk_supply_chain_friction_full_policy
1,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.39186126465167603,3.587298121064099,0.38635668717038374,4.715723486003001,1.0024092091635268,1.046294807016162,3.587298121064099,5.000085632546317,8.000541657152125,6.000484647920636,11.021586657620674,15.02147280366882,4.972396447855392,4.021727542151612,3.0010554339776614,8.00105543397766,6.001055433977661,2.001055433977662,1.0123297678286918,1.011075830458794,1.0063787866965426,1.0108601766482737,1.0158600008369914,1.0103402192854087,1.0010446239510684,1.0056757240619891,1.0062104237524296,1.0027284152731049,1.0085558975277429,1.0018103810347763,1.005596965952111,1.000045488525004,1.0063723601045185,1352.2531251943522,0.015068765885794132,0.4021975132721669,674.9769488708605,4.74251275607991,0.9043471169428844,none,0.0,0.0,0.0,2.35665091232642,0.0,0.0,0.0,0.0,3.728953160405341,3.728953160405341,3.728953160405341,3.728953160405341,uk_supply_chain_friction_full_policy
2,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.39381162919965546,3.615128197100785,0.386189098777624,7.044544322292735,1.0044481841073032,1.0490377610744028,3.615128197100785,5.000254781978515,8.001141317633381,6.001056173853257,11.032557077853383,15.032269108020008,5.958443256214031,4.032690397101341,3.0015794718407864,8.001579471840786,6.001579471840786,2.001579471840787,1.0184786779403607,1.0175195617729869,1.0102985024692384,1.0177667262867607,1.0254244200095692,1.0108813628103082,1.0020399759677336,1.0090222529944326,1.0094655860209953,1.0040407984593858,1.0126040838824089,1.0036995041527597,1.0083889467442804,1.0000682335634523,1.0089218247884413,1284.014995932402,0.015948571304271728,0.40180458486215487,612.7792904273576,7.06875530940411,0.862578985139862,none,0.0,0.0,0.0,2.3262425533241995,0.0,0.0,0.0,0.0,3.756199189854114,3.756199189854114,3.756199189854114,3.756199189854114,uk_supply_chain_friction_full_policy
3,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.3953649521712218,3.6429629158148518,0.38596646428853726,9.342952156902868,1.0068645639494702,1.0518640782397044,3.6429629158148518,5.000578702203837,8.002030263118089,6.001918712220009,11.04366011940822,15.043107013796437,5.957789100464178,4.043649541880421,3.0021021227172326,8.002102122717234,6.002102122717233,2.002102122717233,1.024613586794391,1.0245280716339782,1.014712694481485,1.0256026838572123,1.0359373373111487,1.0109607832004386,1.0033220359859696,1.0127244736028984,1.0128508077307459,1.0052817106319123,1.0165300833181383,1.0062785308054307,1.011176040817358,1.0000909791192139,1.0110959908098904,1219.2783819731585,0.016861594379810895,0.4014191414006595,556.6144483603733,9.363737998028293,0.8247287523858051,none,0.0,0.0,0.0,2.294982688624183,0.0,0.0,0.0,0.0,3.78366053175425,3.78366053175425,3.78366053175425,3.78366053175425,uk_supply_chain_friction_full_policy
4,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.3966473635428924,3.4849774070645836,0.3857070066012527,11.79592035427732,1.0095623053393494,1.0547619591254214,3.4849774070645836,5.001075636895866,8.003226534844245,6.005629172008218,11.054905994349463,15.053709029070944,5.95751714025972,4.054587043308248,3.00331445303498,8.003314453034983,6.00331445303498,2.0033144530349802,1.0307290625581367,1.03205423992718,1.0196053242409175,1.0342866904843175,1.047263713760568,1.0108425931730576,1.004869682133001,1.0167836623901347,1.0163813412305867,1.0064521775869733,1.0203532708988665,1.0095573454418416,1.0139574743667852,1.0001137251923005,1.0129277012343454,1157.8639970063698,0.017813545422914582,0.40104255666769106,505.87539278187273,11.812714538675289,0.7906647988055604,none,0.0,0.0,0.0,2.4489765406469957,0.0,0.0,0.0,0.0,3.8113367286021136,3.8113367286021136,3.8113367286021136,3.8113367286021136,uk_supply_chain_friction_full_policy
5,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.39773983434985866,3.511452151882733,0.3852818253427111,14.218422150106166,1.0124678960941589,1.0577231530441635,3.511452151882733,5.00175850144728,8.004743779446644,6.008398816271319,11.066303967928992,15.066446671652425,5.957218572860702,4.065490090870099,3.004532043363918,8.004532043363922,6.004532043363918,2.0045320433639184,1.036817739728716,1.0400405577825367,1.0249526963831173,1.043716241005884,1.059256060297608,1.010622584885053,1.006660997477775,1.0211930709197699,1.0200670759323756,1.00755667537505,1.0240902591133962,1.013533242630303,1.016732868377965,1.000136471782724,1.0144489896817959,1099.6017393428613,0.01880905663040585,0.4006761614373976,460.01766323565676,14.228675084372727,0.7602535337226682,none,0.0,0.0,0.0,2.415960545697438,0.0,0.0,0.0,0.0,3.8392274684329077,3.8392274684329077,3.8392274684329077,3.8392274684329077,uk_supply_chain_friction_full_policy
6,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.3985941439999473,3.5379711742767195,0.384844111301185,16.607863673409618,1.0155252925231268,1.0607364503694199,3.5379711742767195,5.004170622066353,8.00659840998929,6.012470448629667,11.077862157844635,15.079306983159219,5.957089724774406,4.076342824689858,3.005755525545935,8.005755525545938,6.005755525545935,2.0057555255459354,1.04286664039185,1.0484222238095633,1.030718825646249,1.053776183839887,1.0717664741219857,1.0103669221616294,1.0086726787566367,1.025938733588606,1.0239125358997443,1.0086015883624342,1.0277548782389987,1.0181919011496376,1.0195020436085611,1.0001592188904957,1.0156914511823074,1044.3302214282223,0.019847070459812252,0.4003212502548219,418.57106603709633,16.611382545498852,0.7333153683420762,none,0.0,0.0,0.0,2.382707461126127,0.0,0.0,0.0,0.0,3.8673325776755623,3.8673325776755623,3.8673325776755623,3.8673325776755623,uk_supply_chain_friction_full_policy
7,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.3993700655651617,3.5645479745825677,0.3844020806326408,18.963994334229895,1.0186919047866174,1.0637896342548119,3.5645479745825677,5.006155148898338,8.008797080384829,6.016474400087187,11.089587423682914,15.091271024009481,5.95658573099473,4.0871394908415,3.0069854811465846,8.006985481146586,6.006985481146585,2.006985481146585,1.0488652808250778,1.0571299378263166,1.036861154468802,1.0643457694149483,1.0846530435408122,1.01010469286535,1.010880286168322,1.0310005968112008,1.0279172263536147,1.009593614209524,1.03135835384058,1.0235087925409316,1.0222649211689807,1.000181966515628,1.0166861392372237,991.8963234432331,0.020936909350866173,0.39997908080073724,381.06424312780337,18.960712734495374,0.7096548999549841,none,0.0,0.0,0.0,2.3493301889965217,0.0,0.0,0.0,0.0,3.8956520222774786,3.8956520222774786,3.8956520222774786,3.8956520222774786,uk_supply_chain_friction_full_policy
8,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.39875143359062737,3.5911963338439548,0.38396198626242745,21.28667616396503,1.0219354240221175,1.0668698250759618,3.5911963338439548,5.009228803636121,8.011460281337547,6.022710812413747,11.101485330010943,15.103160610063592,5.956531583580612,4.0977910860737365,3.00822244094243,8.008222440942433,6.00822244094243,2.00822244094243,1.0548000297123261,1.0660920596509875,1.043326874994789,1.075304043767772,1.0977817887609642,1.009849116758806,1.013258192380126,1.0363536670622226,1.032076202384864,1.0105391455996824,1.034909500964118,1.0294506322385342,1.0250214893628211,1.0002047146581323,1.0174635941955215,942.154769758296,0.022008140501196084,0.3996508676379932,370.9966023285646,21.27662388161184,0.6890656348636472,none,0.0,0.0,0.0,2.3159111471164677,0.0,0.0,0.0,0.0,3.9241859108854777,3.9241859108854777,3.9241859108854777,3.9241859108854777,uk_supply_chain_friction_full_policy
9,uk,battery_sovereignty+tier1_resilience+critical_minerals_security+full_industrial_strategy,175,20,0.39471516985101107,3.617930330300413,0.383528584485458,23.57585331462504,1.0252313472918924,1.0699648950328533,3.617930330300413,5.0116108542202875,8.016708925859346,6.02720064958664,11.113560164952107,15.115991079152932,5.956335374224718,4.108080644255235,3.0094668843568817,8.009466884356883,6.009466884356882,2.0094668843568817,1.0606599228082552,1.0752329702164274,1.0500652266205521,1.0865336825182765,1.1110278762120958,1.0096063558104889,1.0157801371192743,1.0419691198797787,1.0363807545519614,1.0114440580054505,1.0384150403709915,1.0359768117564192,1.0277718123102337,1.0002274633180204,1.0180535184914432,894.9677270706879,0.022933998859862147,0.39933777015116495,370.99434863932436,23.559133312626166,0.6713343163729214,none,0.0,0.0,0.0,2.2825094310143257,0.0,0.0,0.0,0.0,3.9529344974707716,3.9529344974707716,3.9529344974707716,3.9529344974707716,uk_supply_chain_friction_full_policy
