week,focus_region,policy_packages,active_oem_target_k,active_market_gwh_2023,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,raw_price_signal,oem_uk_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_copper_wk,stock_cells_wk,stock_packs_wk,stock_inverters_wk,stock_motors_wk,stock_harness_wk,price_lithium,price_cobalt,price_graphite,price_ree,price_sic_wafer,price_copper,price_component_pack,price_component_inverter,price_component_motor,price_component_harness,price_component_vehicle,price_component_sic,price_component_parts,price_component_labour,oem_price_margin_signal,cell_capacity_gwh_yr,cell_cap_util,lfp_share,sd_ev_demand_gwh_yr,sd_oem_backlog_k,bullwhip_index,bottleneck_component,bottleneck_severity,cell_unmet_demand_gwh,tier1_unmet_demand_k,oem_unmet_demand_k,shortfall_packs_k,shortfall_inverters_k,shortfall_motors_k,shortfall_harness_k,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
0,uk,critical_minerals_security,175,20,0.387445506486563,3.554050244038415,0.3864456136600355,2.3631095192751945,1.00087215595608,1.0436077978040015,3.554050244038415,4.999824543096784,8.000133880863109,6.000107308756167,11.010685109955187,15.010663953691175,3.986248428391816,4.010761709163263,3.0005493047283975,8.000549304728397,6.0005493047283975,2.0005493047283975,1.0061222178454146,1.0051014240790466,1.002860295277754,1.004811927921959,1.0072110052715404,1.0076472855473748,1.0003474199851619,1.0026663830447717,1.0030593165316375,1.0013561620338862,1.0043607797804002,1.0005768804217232,1.0028004142639293,1.0000227440038572,1.0034185056055172,1424.178474244798,0.01414651794114832,0.40259644634797775,743.6383403369842,2.391266889192901,0.9520984508896242,none,0.0,0.0,0.0,2.391266889192901,0.0,0.0,0.0,0.0,3.701923076923077,3.701923076923077,3.701923076923077,3.701923076923077,uk_supply_chain_friction_minerals_policy
1,uk,critical_minerals_security,175,20,0.3911315272121814,3.5764113537594,0.3863526490243337,4.732015298747111,1.0024074292858676,1.0462382080265735,3.5764113537594,4.999415941302637,8.000319156129205,6.0002696185475,11.021446994944183,15.021334134710301,4.972417482136802,4.021677228534078,3.001094919060085,8.001094919060085,6.001094919060086,2.001094919060085,1.0121924940046685,1.010693154559933,1.006099276982498,1.0104948742514719,1.0154356621111569,1.0104426553111157,1.0010084710261231,1.005645102918832,1.0061925095061475,1.002733993910266,1.0085485226050175,1.001765582956878,1.00559692098812,1.000045488525004,1.0063953116306752,1352.2459255343342,0.015040784395040146,0.402197290997341,674.6221718199682,4.758742443500173,0.9093003794788825,none,0.0,0.0,0.0,2.3674755543072727,0.0,0.0,0.0,0.0,3.723290731849768,3.723290731849768,3.723290731849768,3.723290731849768,uk_supply_chain_friction_minerals_policy
2,uk,critical_minerals_security,175,20,0.3927913860701062,3.5986863023559756,0.38617701028367046,7.077215904457808,1.0044432301772215,1.0489276339812192,3.5986863023559756,4.998902351598438,8.000687133541213,6.000616030418406,11.032295048332793,15.032011016706436,5.958506648499399,4.032617888654162,3.0016376757942336,8.001637675794234,6.001637675794235,2.001637675794234,1.018217441889481,1.016770627668062,1.009732931782716,1.017052902407919,1.0246261440986342,1.0109927399416383,1.0019559058062149,1.0089511951259424,1.0094227800415052,1.0040496957404133,1.0125864337426376,1.0035944278482185,1.00838884805367,1.0000682335634523,1.008975253742648,1284.0032051468686,0.015907399602876557,0.40180394972293737,612.1363706301793,7.101240914739128,0.8711088202938777,none,0.0,0.0,0.0,2.3424984712389545,0.0,0.0,0.0,0.0,3.7447964151888447,3.7447964151888447,3.7447964151888447,3.7447964151888447,uk_supply_chain_friction_minerals_policy
3,uk,critical_minerals_security,175,20,0.3940803400942407,3.620894727539272,0.3859423621677515,9.397505950513466,1.0068539083899113,1.0516883087229703,3.620894727539272,4.998307234125476,8.001260646936316,6.00117134453235,11.043238655081177,15.042695086211396,5.957916465066962,4.043559720406152,3.0021783312785084,8.00217833127851,6.002178331278509,2.002178331278509,1.0242018385356513,1.0233192321263067,1.0137694087519729,1.024462570112765,1.0347089799711742,1.0110698301586671,1.00316666383267,1.0125940683864916,1.012769954683377,1.0052934340005604,1.0164966212406708,1.0060835920180549,1.0111758648775904,1.0000909791192139,1.0111945312048398,1219.2613659177487,0.016807042573251614,0.4014177304014352,555.6433641532881,9.417920989780647,0.8370734647386946,none,0.0,0.0,0.0,2.3166800750415204,0.0,0.0,0.0,0.0,3.7664391839060194,3.7664391839060194,3.7664391839060194,3.7664391839060194,uk_supply_chain_friction_minerals_policy
4,uk,critical_minerals_security,175,20,0.39511429461172026,3.3519637018816835,0.38566697914572107,11.983117051212576,1.0095427189893493,1.0545100227049797,3.3519637018816835,4.997646717884805,8.002056015595747,6.004490709363721,11.054286908425471,15.053108068056545,5.9577092972827375,4.05448608872756,3.0037988905322375,8.00379889053224,6.003798890532239,2.003798890532238,1.0301488150192584,1.03031567562424,1.0182044742507144,1.032677462107665,1.0455932029596664,1.0109422669694625,1.004620079208065,1.0165763160339367,1.0162488827622984,1.0064659076073366,1.0202979613871017,1.0092443608933839,1.013956846366952,1.0001137251923005,1.0130850985472344,1157.8411396660645,0.017745045167193794,0.4010398721320899,504.55502614688425,11.999295428602364,0.8067866662009852,none,0.0,0.0,0.0,2.5813744388217175,0.0,0.0,0.0,0.0,3.7882182529855615,3.7882182529855615,3.7882182529855615,3.7882182529855615,uk_supply_chain_friction_minerals_policy
5,uk,critical_minerals_security,175,20,0.39597387029703507,3.372316475214447,0.3851410671196382,14.544138716701529,1.0124356187510903,1.0573905254966263,3.372316475214447,4.99693183253058,8.003084989125734,6.006783762446625,11.06544837564368,15.065620683484015,5.957476419610715,4.065385460352435,3.005425251926886,8.005425251926887,6.005425251926888,2.005425251926886,1.0360600370948283,1.037729497815919,1.0230308398305563,1.0416335018162515,1.0571745939461046,1.010713446013615,1.0062968142216004,1.020894856038849,1.0198707027088556,1.0075716338191243,1.0240072177980541,1.0130787795376015,1.016731237352855,1.000136471782724,1.0146767478666476,1099.5724413947682,0.018726043396765504,0.40067157042303525,458.3412658898436,14.552226139843889,0.7799109515241468,none,0.0,0.0,0.0,2.552930711241525,0.0,0.0,0.0,0.0,3.81013296265372,3.81013296265372,3.81013296265372,3.81013296265372,uk_supply_chain_friction_minerals_policy
6,uk,critical_minerals_security,175,20,0.3965314315798715,3.392646970427121,0.38459886359997086,17.07673893273038,1.0154762745947887,1.0603240195133368,3.392646970427121,4.997709615536755,8.004367541179501,6.0102965540664925,11.0767309203081,15.07821916429116,5.957413342347129,4.076238230962803,3.00705800004459,8.007058000044593,6.007058000044592,2.0070580000445903,1.04193177561715,1.045524589573493,1.0282326734137661,1.0512542620120968,1.0693452563502326,1.0104495104079843,1.0081779075028598,1.0255412176937964,1.023642577759919,1.0086170603503668,1.0276388979695823,1.017580097682612,1.0194987707462022,1.0001592188904957,1.0159977331266996,1044.2938988884457,0.019745049228096622,0.4003139923719859,416.54326091278386,17.076484763262474,0.7561104637362692,none,0.0,0.0,0.0,2.524258623418585,0.0,0.0,0.0,0.0,3.832182763713101,3.832182763713101,3.832182763713101,3.832182763713101,uk_supply_chain_friction_minerals_policy
7,uk,critical_minerals_security,175,20,0.3970103005402045,3.4129667787301954,0.38404859144497694,19.58067774784589,1.0186220867763365,1.063303273299035,3.4129667787301954,4.997822552221981,8.005909660914277,6.013658736444406,11.088141580425106,15.089883747904022,5.956977988497422,4.087038923260316,3.0086976747577947,8.008697674757798,6.008697674757797,2.008697674757795,1.0477630523994523,1.0536606807446678,1.033790090666593,1.0614557636174935,1.0819987966842515,1.0101795256982362,1.0102446518011774,1.0305021735365327,1.0275677636017653,1.0096089536979473,1.0312053355025275,1.022733593602743,1.0222593238877669,1.000181966515628,1.0170749393407923,991.8524064037142,0.020814120623999045,0.399968284497268,378.69839079846696,19.57195785291654,0.7350818281547512,none,0.0,0.0,0.0,2.4954730896540647,0.0,0.0,0.0,0.0,3.854367211524865,3.854367211524865,3.854367211524865,3.854367211524865,uk_supply_chain_friction_minerals_policy
8,uk,critical_minerals_security,175,20,0.397438506727372,3.433287176858826,0.3834964645618432,22.055830439371324,1.0218410270999059,1.0663198644190928,3.433287176858826,4.998709318777608,8.007749218523367,6.019096518171255,11.099686496690536,15.101435414111906,5.956990230655052,4.097783834122304,3.0103447727728443,8.010344772772847,6.0103447727728465,2.0103447727728443,1.0535499587282473,1.062094633436916,1.0396745815833128,1.0721505010817378,1.0950317417287798,1.00991669107158,1.0124781907712543,1.0357604223478516,1.0316458818034204,1.0105537670078628,1.034716788394184,1.028517445452826,1.0250128464857258,1.0002047146581323,1.0179341705109755,942.102701217731,0.02193688896455781,0.39963557502795033,370.9941816157216,22.038616284701455,0.7165511544479516,none,0.0,0.0,0.0,2.4666584317849156,0.0,0.0,0.0,0.0,3.8766859625101544,3.8766859625101544,3.8766859625101544,3.8766859625101544,uk_supply_chain_friction_minerals_policy
9,uk,critical_minerals_security,175,20,0.39753643623527346,3.453619259081659,0.38294715442774063,24.502156788933405,1.0251091542860302,1.0693655347576214,3.453619259081659,4.998416304000018,8.011750899115913,6.02246825994034,11.111370882500857,15.1138886516923,5.956862178641432,4.10845157544827,3.0119997486723893,8.011999748672391,6.01199974867239,2.0119997486723893,1.059291990449972,1.070778201505773,1.0458607134666111,1.0832506188987974,1.108344723807111,1.0096671466856746,1.0148597883924346,1.041295283027336,1.035873315281099,1.0114574135517853,1.0381816630305276,1.034903627721169,1.0277593281583175,1.0002274633180204,1.0186000336427932,894.9069618621772,0.023099490299213758,0.39931697041395586,370.99132520302425,24.476491709123497,0.7002712823072368,none,0.0,0.0,0.0,2.4378754244220433,0.0,0.0,0.0,0.0,3.8991387712390697,3.8991387712390697,3.8991387712390697,3.8991387712390697,uk_supply_chain_friction_minerals_policy
